YEAR,2 W,3 W,4 W,BUS
Apr-17,96,4748,198,0
May-17,91,6720,215,2
Jun-17,137,7178,149,1
Jul-17,116,8775,120,0
Aug-17,99,8905,137,0
Sep-17,109,7414,193,0
Oct-17,160,7250,214,0
Nov-17,214,9598,186,11
Dec-17,189,8719,179,0
Jan-18,176,8750,210,29
Feb-18,156,6904,258,88
Mar-18,461,7009,183,18
Apr-18,486,6593,214,68
May-18,681,7276,262,69
Jun-18,956,7556,288,94
Jul-18,1217,9844,278,91
Aug-18,1573,9990,198,49
Sep-18,2257,11130,172,54
Oct-18,2557,12305,90,21
Nov-18,3374,10517,193,87
Dec-18,3168,12501,154,12
Jan-19,2745,10533,86,17
Feb-19,3126,8786,230,97
Mar-19,5866,9000,242,86
Apr-19,3078,7888,124,44
May-19,1666,8256,63,48
Jun-19,1757,9187,60,40
Jul-19,1569,10746,117,81
Aug-19,1506,11527,108,100
Sep-19,1561,14340,180,147
Oct-19,2136,13261,195,157
Nov-19,3144,15543,222,186
Dec-19,2235,14422,122,90
Jan-20,2941,13553,389,9
Feb-20,2353,13622,496,19
Mar-20,2883,10706,428,7
Apr-20,85,870,3,0
May-20,558,668,84,0
Jun-20,1511,4662,295,0
Jul-20,1488,5871,359,0
Aug-20,2115,5937,371,0
Sep-20,3089,7747,340,1
Oct-20,2951,7946,462,8
Nov-20,4190,8537,570,34
Dec-20,4948,10242,526,10
Jan-21,5319,10931,657,39
Feb-21,6581,12550,627,186
Mar-21,11963,14931,907,95
Apr-21,5694,7951,1080,156
May-21,1243,1048,262,85
Jun-21,4671,6338,1041,70
Jul-21,14671,1853,1260,49
Aug-21,16046,13309,1202,80
Sep-21,18032,16964,1361,79
Oct-21,20812,18497,1419,84
Nov-21,24528,18690,1681,34
Dec-21,26622,24118,2645,223
Jan-22,30121,19548,1587,331
Feb-22,35708,19621,2474,278
Mar-22,54402,24606,3770,143
Apr-22,53258,21626,2310,166
May-22,42417,24100,3007,167
Jun-22,44372,27846,3280,146
Jul-22,46606,30489,3454,208
Aug-22,52196,33055,3417,228
Sep-22,53210,37404,3589,204
Oct-22,77137,35889,3950,243
Nov-22,76700,40403,4027,118
Dec-22,64598,35542,3879,151
Jan-23,64649,34308,3490,98
Feb-23,66033,35995,4850,99
Mar-23,86194,45225,8852,89
Apr-23,66755,38016,6193,84
May-23,105154,44615,7736,283
,,,,
